Energy_MeV,Element,Mu_over_rho,Mu_en_over_rho
0.166,7,0.13146,0.0253376
0.167,7,0.13122,0.0253762
0.168,7,0.13098,0.0254148
0.169,7,0.13074,0.0254534
0.17,7,0.1305,0.025492
0.171,7,0.13026,0.0255306
0.172,7,0.13002,0.0255692
0.173,7,0.12978,0.0256078
0.174,7,0.12954,0.0256464
0.175,7,0.1293,0.025685
0.176,7,0.12906,0.0257236
0.177,7,0.12882,0.0257622
0.178,7,0.12858,0.0258008
0.179,7,0.12834,0.0258394
0.18,7,0.1281,0.025878
0.181,7,0.12786,0.0259166
0.182,7,0.12762,0.0259552
0.183,7,0.12738,0.0259938
0.184,7,0.12714,0.0260324
0.185,7,0.1269,0.026071
0.186,7,0.12666,0.0261096
0.187,7,0.12642,0.0261482
0.188,7,0.12618,0.0261868
0.189,7,0.12594,0.0262254
0.19,7,0.1257,0.026264
0.191,7,0.12546,0.0263026
0.192,7,0.12522,0.0263412
0.193,7,0.12498,0.0263798
0.194,7,0.12474,0.0264184
0.195,7,0.1245,0.026457
0.196,7,0.12426,0.0264956
0.197,7,0.12402,0.0265342
0.198,7,0.12378,0.0265728
0.199,7,0.12354,0.0266114
0.2,7,0.1233,0.02665
0.201,7,0.123135,0.0266708
0.202,7,0.12297,0.0266916
0.203,7,0.122805,0.0267124
0.204,7,0.12264,0.0267332
0.205,7,0.122475,0.026754
0.206,7,0.12231,0.0267748
0.207,7,0.122145,0.0267956
0.208,7,0.12198,0.0268164
0.209,7,0.121815,0.0268372
0.21,7,0.12165,0.026858
0.211,7,0.121485,0.0268788
0.212,7,0.12132,0.0268996
0.213,7,0.121155,0.0269204
0.214,7,0.12099,0.0269412
0.215,7,0.120825,0.026962
0.216,7,0.12066,0.0269828
0.217,7,0.120495,0.0270036
0.218,7,0.12033,0.0270244
0.219,7,0.120165,0.0270452
0.22,7,0.12,0.027066
0.221,7,0.119835,0.0270868
0.222,7,0.11967,0.0271076
0.223,7,0.119505,0.0271284
0.224,7,0.11934,0.0271492
0.225,7,0.119175,0.02717
0.226,7,0.11901,0.0271908
0.227,7,0.118845,0.0272116
0.228,7,0.11868,0.0272324
0.229,7,0.118515,0.0272532
0.23,7,0.11835,0.027274
0.231,7,0.118185,0.0272948
0.232,7,0.11802,0.0273156
0.233,7,0.117855,0.0273364
0.234,7,0.11769,0.0273572
0.235,7,0.117525,0.027378
0.236,7,0.11736,0.0273988
0.237,7,0.117195,0.0274196
0.238,7,0.11703,0.0274404
0.239,7,0.116865,0.0274612
0.24,7,0.1167,0.027482
0.241,7,0.116535,0.0275028
0.242,7,0.11637,0.0275236
0.243,7,0.116205,0.0275444
0.244,7,0.11604,0.0275652
0.245,7,0.115875,0.027586
0.246,7,0.11571,0.0276068
0.247,7,0.115545,0.0276276
0.248,7,0.11538,0.0276484
0.249,7,0.115215,0.0276692
0.25,7,0.11505,0.02769
0.251,7,0.114885,0.0277108
0.252,7,0.11472,0.0277316
0.253,7,0.114555,0.0277524
0.254,7,0.11439,0.0277732
0.255,7,0.114225,0.027794
0.256,7,0.11406,0.0278148
0.257,7,0.113895,0.0278356
0.258,7,0.11373,0.0278564
0.259,7,0.113565,0.0278772
0.26,7,0.1134,0.027898
0.261,7,0.113235,0.0279188
0.262,7,0.11307,0.0279396
0.263,7,0.112905,0.0279604
0.264,7,0.11274,0.0279812
0.265,7,0.112575,0.028002
0.266,7,0.11241,0.0280228
0.267,7,0.112245,0.0280436
0.268,7,0.11208,0.0280644
0.269,7,0.111915,0.0280852
0.27,7,0.11175,0.028106
0.271,7,0.111585,0.0281268
0.272,7,0.11142,0.0281476
0.273,7,0.111255,0.0281684
0.274,7,0.11109,0.0281892
0.275,7,0.110925,0.02821
0.276,7,0.11076,0.0282308
0.277,7,0.110595,0.0282516
0.278,7,0.11043,0.0282724
0.279,7,0.110265,0.0282932
0.28,7,0.1101,0.028314
0.281,7,0.109935,0.0283348
0.282,7,0.10977,0.0283556
0.283,7,0.109605,0.0283764
0.284,7,0.10944,0.0283972
0.285,7,0.109275,0.028418
0.286,7,0.10911,0.0284388
0.287,7,0.108945,0.0284596
0.288,7,0.10878,0.0284804
0.289,7,0.108615,0.0285012
0.29,7,0.10845,0.028522
0.291,7,0.108285,0.0285428
0.292,7,0.10812,0.0285636
0.293,7,0.107955,0.0285844
0.294,7,0.10779,0.0286052
0.295,7,0.107625,0.028626
0.296,7,0.10746,0.0286468
0.297,7,0.107295,0.0286676
0.298,7,0.10713,0.0286884
0.299,7,0.106965,0.0287092
0.3,7,0.1068,0.02873
0.301,7,0.1066877,0.0287379
0.302,7,0.1065754,0.0287458
0.303,7,0.1064631,0.0287537
0.304,7,0.1063508,0.0287616
0.305,7,0.1062385,0.0287695
0.306,7,0.1061262,0.0287774
0.307,7,0.1060139,0.0287853
0.308,7,0.1059016,0.0287932
0.309,7,0.1057893,0.0288011
0.31,7,0.105677,0.028809
0.311,7,0.1055647,0.0288169
0.312,7,0.1054524,0.0288248
0.313,7,0.1053401,0.0288327
0.314,7,0.1052278,0.0288406
0.315,7,0.1051155,0.0288485
0.316,7,0.1050032,0.0288564
0.317,7,0.1048909,0.0288643
0.318,7,0.1047786,0.0288722
0.319,7,0.1046663,0.0288801
0.32,7,0.104554,0.028888
0.321,7,0.1044417,0.0288959
0.322,7,0.1043294,0.0289038
0.323,7,0.1042171,0.0289117
0.324,7,0.1041048,0.0289196
0.325,7,0.1039925,0.0289275
0.326,7,0.1038802,0.0289354
0.327,7,0.1037679,0.0289433
0.328,7,0.1036556,0.0289512
0.329,7,0.1035433,0.0289591
0.33,7,0.103431,0.028967
