# Mid-bin energy (keV),Fluence (cm⁻² keV⁻¹)
146.875,2406903472429.64
147.125,2395890213958.5005
147.375,2384900707146.3687
147.625,2373942824495.8013
147.875,2363000901529.748
148.125,2352076153617.643
148.375,2341189554342.5327
148.625,2330370403786.878
148.875,2319582238561.5557
149.125,2308820501378.2617
149.375,2298081170358.419
149.625,2287366948996.364
149.875,2276689480921.9185
150.125,2266021062555.339
150.375,2255369369106.855
150.625,2244753526427.9062
150.875,2234199714663.635
151.125,2223672262306.585
151.375,2213176968526.268
151.625,2202704500712.078
151.875,2192257271101.594
152.125,2181845636724.8801
152.375,2171444713051.9456
152.625,2161061858245.1782
152.875,2150715954727.47
153.125,2140429672855.5427
153.375,2130170064958.6313
153.625,2119937123925.1826
153.875,2109727073316.9336
154.125,2099545730673.4614
154.375,2089392732326.3345
154.625,2079254580656.7253
154.875,2069136708647.7676
155.125,2059055760795.13
155.375,2049026524068.4456
155.625,2039023464428.7917
155.875,2029044681434.1477
156.125,2019089596831.936
156.375,2009163017967.2332
156.625,1999261851553.346
156.875,1989372529264.2932
157.125,1979507382633.7126
157.375,1969677458297.2002
157.625,1959893038209.3206
157.875,1950134412258.7026
158.125,1940401449501.5178
158.375,1930691316541.365
158.625,1921008687071.1296
158.875,1911356574156.8982
159.125,1901716550712.041
159.375,1892100054356.9397
159.625,1882516127669.372
159.875,1872973549694.6191
160.125,1863454565397.3132
160.375,1853963458565.3193
160.625,1844496058914.3923
160.875,1835052949416.8374
161.125,1825634027305.4678
161.375,1816226803419.4622
161.625,1806843632862.744
161.875,1797489327564.6167
162.125,1788172863677.773
162.375,1778878525955.6743
162.625,1769611217234.0076
162.875,1760361744217.073
163.125,1751136123907.8474
163.375,1741934304478.846
163.625,1732745375248.2236
163.875,1723584936513.54
164.125,1714454079522.149
164.375,1705358638598.8577
164.625,1696286987652.1968
164.875,1687239282316.2175
165.125,1678207719539.0974
165.375,1669198473674.9307
165.625,1660215402518.4248
165.875,1651247014007.382
166.125,1642303017148.6895
166.375,1633384308631.5745
166.625,1624497771106.1218
166.875,1615635271885.011
167.125,1606794264674.9773
167.375,1597972168910.0444
167.625,1589173269901.341
167.875,1580396068268.3179
168.125,1571633656789.7083
168.375,1562894833068.4285
168.625,1554179628254.1924
168.875,1545496164831.1274
169.125,1536837149569.9846
169.375,1528197160850.9019
169.625,1519573959605.2498
169.875,1510971350035.5515
170.125,1502389436610.3462
170.375,1493823985630.7146
170.625,1485279517144.7036
170.875,1476759783645.0894
171.125,1468268315558.4485
171.375,1459799746472.026
171.625,1451348825785.6802
171.875,1442915235354.118
172.125,1434502530193.0793
172.375,1426111887281.084
172.625,1417738550998.7688
172.875,1409388625779.3562
173.125,1401063704105.0342
173.375,1392765222463.0454
173.625,1384485512388.7712
173.875,1376221097934.2349
174.125,1367972677444.1477
174.375,1359744450038.2883
174.625,1351535291885.45
174.875,1343345465831.2854
175.125,1335175334899.5542
175.375,1327024786250.5793
175.625,1318895575810.4958
175.875,1310784832552.6687
176.125,1302688880798.9863
176.375,1294610726108.2288
176.625,1286553232957.0674
176.875,1278513942252.8179
177.125,1270496652535.8884
177.375,1262498103733.458
177.625,1254522457955.321
177.875,1246563837614.0186
178.125,1238622681735.2356
178.375,1230696899239.6267
178.625,1222787670780.5093
178.875,1214895554034.9011
179.125,1207021343689.5461
179.375,1199168300048.833
179.625,1191332817895.3914
179.875,1183518056245.777
180.125,1175716984423.6455
180.375,1167934761239.7952
180.625,1160165587071.3313
180.875,1152412070935.8699
181.125,1144676148960.7295
181.375,1136957891538.3013
181.625,1129260937556.043
181.875,1121582820596.621
182.125,1113923034223.4507
182.375,1106274461212.384
182.625,1098643169665.2805
182.875,1091022799371.9504
183.125,1083417316261.712
183.375,1075830303861.8494
183.625,1068257537751.5598
183.875,1060707685701.1511
184.125,1053175065833.7657
184.375,1045659005280.6622
184.625,1038151171052.6926
184.875,1030659656057.7119
185.125,1023178485659.1364
185.375,1015714693410.7527
185.625,1008265839241.406
185.875,1000832266240.5226
186.125,993423815254.3018
186.375,986030477849.7858
186.625,978653698635.4381
186.875,971281542653.0549
187.125,963925201836.9021
187.375,956579982727.8385
187.625,949252714936.5542
187.875,941935962722.457
188.125,934636145730.7587
188.375,927363043019.4224
188.625,920103375623.2191
188.875,912858191561.8217
189.125,905614837809.2418
189.375,898386674551.2325
189.625,891172702077.0233
189.875,883972462475.2347
190.125,876779643468.3788
190.375,869607797200.0615
190.625,862461736282.1655
190.875,855326453398.1826
191.125,848204710116.2979
191.375,841082103793.685
191.625,833976340871.0253
191.875,826881352307.3142
192.125,819796806350.5392
192.375,812719478017.3907
192.625,805666936024.8867
192.875,798635780023.8774
193.125,791613845262.7299
193.375,784604193807.0708
193.625,777591315760.7104
193.875,770595131690.9739
194.125,763608093882.2858
194.375,756628860853.1191
194.625,749661296526.6737
194.875,742716113712.6608
195.125,735791929128.8577
195.375,728876066015.7881
195.625,721971883357.2927
195.875,715064425100.9698
196.125,708170362433.259
196.375,701284864458.6952
196.625,694405557011.1532
196.875,687539403801.4915
197.125,680694447213.2292
197.375,673869415361.6735
197.625,667051352461.2366
197.875,660246300825.1891
198.125,653432657382.6147
198.375,646631794354.8068
198.625,639839629897.1583
198.875,633052370666.2773
199.125,626277362104.7778
199.375,619524190490.6346
199.625,612789662407.096
199.875,606061963208.3501
200.125,599345830886.0502
200.375,592616396046.0632
200.625,585901144193.3851
200.875,579192863393.6613
201.125,572492974549.1288
201.375,565803856048.4202
201.625,559137907731.7084
201.875,552489722696.9652
202.125,545850960356.20044
202.375,539222417999.9268
202.625,532581698429.231
202.875,525955025886.3875
203.125,519334214167.34174
203.375,512723503525.0729
203.625,506122860668.4868
203.875,499546427193.00824
204.125,492988640523.342
204.375,486438146080.31006
204.625,479897881391.4474
204.875,473345028618.7565
205.125,466805969312.6198
205.375,460272644086.1689
205.625,453749465934.1965
205.875,447236236188.57996
206.125,440749010341.89325
206.375,434279050721.8961
206.625,427815289544.21936
206.875,421361805420.7314
207.125,414896028760.57184
207.375,408445644969.8262
207.625,402003896955.18225
207.875,395574039166.9866
208.125,389156104026.6482
208.375,382768055812.56744
208.625,376396156528.7889
208.875,370032494060.69763
209.125,363681146193.6184
209.375,357319784004.8508
209.625,350976360859.1017
209.875,344644660656.3401
210.125,338327377244.2624
210.375,332024561861.71405
210.625,325753055349.20276
210.875,319499102285.55853
211.125,313256048790.7685
211.375,307027960060.7653
211.625,300793895300.8855
211.875,294581951290.621
212.125,288385987551.62933
212.375,282208118229.6769
212.625,276048545846.36414
212.875,269924896055.54025
213.125,263821766174.71606
213.375,257733893621.49585
213.625,251665425655.62445
213.875,245598579775.26523
214.125,239556906244.08316
214.375,233536072889.17862
214.625,227536842913.90674
214.875,221559743580.32922
215.125,215623169745.31516
215.375,209710474017.1349
215.625,203817937158.46674
215.875,197949920354.8814
216.125,192093257500.51663
216.375,186274473585.22104
216.625,180483188789.67914
216.875,174720802229.0533
217.125,168988699577.84076
217.375,163306191386.94617
217.625,157656364755.85278
217.875,152037549897.90863
218.125,146454765444.45837
218.375,140922936019.83536
218.625,135448359798.50658
218.875,129987468305.97119
219.125,124546341407.81474
219.375,119131004279.35986
219.625,113765116149.11572
219.875,108435647544.20897
220.125,103146556420.76576
220.375,97907127544.986
220.625,92876019403.60686
220.875,87961109902.47217
221.125,82967082231.0056
221.375,77923346569.51753
221.625,72859054367.64723
221.875,67820085049.455505
222.125,62816078083.34965
222.375,57874565987.62005
222.625,53026867928.65566
222.875,48533708794.122185
223.125,43985550866.20374
223.375,39018197147.510574
223.625,33682748726.689335
223.875,28029864561.827164
224.125,22116655778.063454
224.375,15982069212.802334
224.625,9675472664.204659
224.875,3246037777.5555563
