E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_1.56keV,subshell_MT535_0.12keV,subshell_MT536_0.08keV,subshell_MT537_0.08keV,subshell_MT538_0.01keV,subshell_MT539_0.01keV,subshell_MT540_0.01keV
371.0,0.41203012556013047,0.0045005347860770616,0.40620361334531596,0.0,0.0,0.0,0.0013259773864212293,0.0012335251934573062,8.564028436181891e-05,2.5320149154269996e-07,4.1736246326078595e-07,6.136936479433552e-06,1.648148208537458e-09,2.762332871586986e-09
372.0,0.411589843871201,0.004476485975029914,0.40579768851893366,0.0,0.0,0.0,0.0013156690425211775,0.0012239512560491563,8.495921337694655e-05,2.5092699595130513e-07,4.1390493930395946e-07,6.089388703955374e-06,1.6340467357607677e-09,2.738742060977927e-09
373.0,0.4111495844294191,0.004452437163982767,0.4053917636925514,0.0,0.0,0.0,0.0013053833851107905,0.0012143773186410064,8.430060547653354e-05,2.488251635673174e-07,4.1044741534713297e-07,6.041840928477197e-06,1.6199452629840774e-09,2.7165895128493226e-09
374.0,0.4107093597366328,0.004428388352935619,0.4049858388661692,0.0,0.0,0.0,0.0012951322774624552,0.0012048033812328564,8.367657070305559e-05,2.467325625129798e-07,4.069898913903065e-07,5.9942931529990195e-06,1.605843790207387e-09,2.6944369647207187e-09
375.0,0.4102691350438465,0.004404339541888472,0.40457991403978694,0.0,0.0,0.0,0.0012848811698141199,0.0011952294438247065,8.305253592957764e-05,2.4463996145864226e-07,4.0353236743348e-07,5.946745377520842e-06,1.591742317430697e-09,2.6722844165921144e-09
376.0,0.409829081239529,0.004380290730841324,0.4041739892134047,0.0,0.0,0.0,0.0012748009025538016,0.0011858255278539179,8.242850115609968e-05,2.4254736040430467e-07,4.000748434766535e-07,5.900039074537204e-06,1.5776408446540066e-09,2.65013186846351e-09
377.0,0.409389907374574,0.004356241919794177,0.40376806438702245,0.0,0.0,0.0,0.0012656008408583452,0.0011772972327419632,8.180446638262174e-05,2.4045475934996714e-07,3.9684963243160474e-07,5.857666406651517e-06,1.5643942310850747e-09,2.6279793203349057e-09
378.0,0.4089507335336022,0.004332193108747029,0.4033621395606402,0.0,0.0,0.0,0.0012564008406516633,0.0011687689376300087,8.118043160914379e-05,2.3836215829562958e-07,3.9365254195165527e-07,5.815293738765829e-06,1.5514224784190733e-09,2.6058267722063014e-09
379.0,0.40851155961404295,0.004308144297699882,0.40295621473425797,0.0,0.0,0.0,0.0012472008498361769,0.001160240642518054,8.055639683566584e-05,2.3634559659064384e-07,3.9045545147170575e-07,5.772921070880141e-06,1.5384507257530719e-09,2.583674224077697e-09
380.0,0.4080723896043098,0.0042840954866527345,0.4025502899078757,0.0,0.0,0.0,0.0012380043185647501,0.0011517123474060994,7.993569097487263e-05,2.3437982354036907e-07,3.872583609917563e-07,5.730548402994454e-06,1.5254789730870707e-09,2.5629252843153823e-09
381.0,0.40763325588636345,0.004260046675605587,0.4021443650814935,0.0,0.0,0.0,0.0012288440286706756,0.0011431840522941447,7.935125782743238e-05,2.324140504900943e-07,3.8406127051180675e-07,5.688175735108766e-06,1.5125072204210693e-09,2.5423265467597226e-09
382.0,0.40719412216841705,0.00423599786455844,0.40173844025511124,0.0,0.0,0.0,0.0012196837387766011,0.00113465575718219,7.876682467999215e-05,2.3044827743981953e-07,3.808641800318573e-07,5.6458030672230784e-06,1.4995354677550679e-09,2.5217278092040625e-09
