E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_9.66keV,subshell_MT535_1.20keV,subshell_MT536_1.05keV,subshell_MT537_1.02keV,subshell_MT538_0.14keV,subshell_MT539_0.09keV,subshell_MT540_0.09keV,subshell_MT541_0.01keV,subshell_MT542_0.01keV,subshell_MT543_0.01keV
73.0,5.01582340752452,0.4075783867229664,0.6225236403427014,0.0,0.0,0.0,3.9857213634586253,3.5658068695980134,0.320255994456087,0.016606158005020286,0.02672713005787726,0.04733580757686429,0.002384871629794462,0.00381682181712309,1.5599107864982053e-05,2.0317818207657005e-05,0.0027517918988192716
74.0,4.84444154418002,0.3973202726511029,0.6220415639101647,0.0,0.0,0.0,3.8250797224867576,3.4222364706153217,0.30758325149502463,0.015808355706351866,0.02540570952807271,0.045468325782867906,0.002270051481221851,0.0036297115039499853,1.4684352820379121e-05,1.910916855391206e-05,0.0026440523308465837
75.0,4.68200549853545,0.3873548307453994,0.6215594874776282,0.0,0.0,0.0,3.67309118830011,3.286396840478237,0.295573946077416,0.015056531755792186,0.024159807337112964,0.043713522771819044,0.002162070226209581,0.003453557573543464,1.3834577177973318e-05,1.798584216200658e-05,0.002543091836778235
76.0,4.529008533054635,0.3791019234868174,0.6210774110450917,0.0,0.0,0.0,3.528829210396818,3.157306834779696,0.28429586176860144,0.01434724156490964,0.022987978337363456,0.042068845818739216,0.002060442381695007,0.0032872352163071314,1.3044708888855603e-05,1.694298411382963e-05,0.0024447839022434833
77.0,4.383217665324272,0.3708490162282355,0.6205953346125551,0.0,0.0,0.0,3.3917733147464006,3.0347463448395224,0.2735193485633354,0.013674808165577802,0.021887208205792062,0.040467171165401314,0.001965385771083428,0.00313060037653022,1.2306331267758225e-05,1.5977888870593642e-05,0.0023541639631570097
78.0,4.244368444357348,0.36259610896965355,0.6201132581800186,0.0,0.0,0.0,3.261659076243679,2.918412082526033,0.2632200757728041,0.013042244021695175,0.020856313254795436,0.0389759468541869,0.001876727630493224,0.002983291157144976,1.161793853945699e-05,1.508661628494761e-05,0.002265690386553899
79.0,4.113206381978355,0.3543432017110716,0.619631181747482,0.0,0.0,0.0,3.13923200094774,2.8091255415442604,0.25339656243521325,0.012449861088312385,0.01988784129568566,0.03752892335709302,0.0017915512199037555,0.0028452968935234295,1.0975411090317433e-05,1.4238522818356074e-05,0.002181207530733105
80.0,3.9871465907428445,0.3460902944524897,0.6189857897150555,0.0,0.0,0.0,3.0220705086477917,2.7043250665697234,0.2441797173793918,0.011890952068949743,0.018974300645750793,0.03614892011239843,0.0017107296791645402,0.0027154567841024646,1.0378754757960989e-05,1.345040411340853e-05,0.0021015353168268064
81.0,3.866175207871797,0.33783738719390777,0.6182156787148116,0.0,0.0,0.0,2.9101221424706782,2.604235294154194,0.23528740830072076,0.011374775745991075,0.018112271749285192,0.03483525185917778,0.0016359736346069013,0.0025928629371814705,9.820954919692474e-06,1.2721025715424965e-05,0.002025761655186099
82.0,3.751732913255288,0.3309866692747357,0.6174455677145679,0.0,0.0,0.0,2.803300676657738,2.5086703192230977,0.2268482166556794,0.010870675947873106,0.01730257885956033,0.0335922957043401,0.0015647394615079461,0.0024770785235745437,9.297861430559147e-06,1.20366286191654e-05,0.0019534367348537987
83.0,3.643802421301887,0.3243114871620229,0.6166754567143241,0.0,0.0,0.0,2.702815478064215,2.418820388596674,0.2188713242055612,0.010397338425211988,0.016548253173352213,0.03240734247844286,0.001497293220769833,0.002367933999211607,8.816194971676211e-06,1.1397457765483398e-05,0.0018853904757420697
84.0,3.5394976276846566,0.31763630504931006,0.6159053457140803,0.0,0.0,0.0,2.6059559780913966,2.331981838879574,0.21136589482834717,0.009952773699963405,0.015818349676704556,0.03129808414547435,0.0014335423221148488,0.0022666291997772816,8.356961494344762e-06,1.0804598143948422e-05,0.001819702274905667
85.0,3.440163162952782,0.3109611229365973,0.6151352347138366,0.0,0.0,0.0,2.5140668015810217,2.2498382015102623,0.2040397541797308,0.009537977554021675,0.015130020312005525,0.030204140527979824,0.0013738817127862137,0.0021681508465027245,7.924502704499988e-06,1.023849991833841e-05,0.0017565137356617049
86.0,3.3454325047655606,0.3042859408238845,0.6143651237135928,0.0,0.0,0.0,2.4267814416599127,2.1718127163176177,0.19705484223967581,0.009138973566956915,0.01448665934097846,0.029182398387387475,0.0013162105654387765,0.002075620260539838,7.524209600803434e-06,9.713753994040164e-06,0.001696782562143734
87.0,3.2554434546886872,0.29761075871117165,0.6135950127133489,0.0,0.0,0.0,2.3442376838867593,2.0981659522424185,0.1903505185479978,0.008758140559059952,0.013872594158463127,0.02818359897881558,0.0012623612022729734,0.001988672660441504,7.150711702731969e-06,9.229471228123243e-06,0.0016394636112575204
88.0,3.1686144768333206,0.2912704021955486,0.6128249017131051,0.0,0.0,0.0,2.2645191737510273,2.026819267381963,0.1840326405245319,0.008404516856627317,0.013290560475604068,0.027254739840294927,0.001211723555932907,0.001905656294122059,6.802201097197213e-06,8.765770125738051e-06,0.0015844996676629684
89.0,3.085657558310209,0.28588732896937913,0.6120547907128614,0.0,0.0,0.0,2.187715436512738,1.9579853738072854,0.1780332272461042,0.008067825855560692,0.012742991507742394,0.02634907001792564,0.0011626016926615632,0.0018269414358382675,6.472340307992821e-06,8.327096931119329e-06,0.001532607064994394
90.0,3.006483330622969,0.2805042557432096,0.6112846797126176,0.0,0.0,0.0,2.114694396341201,1.8926732110231235,0.1721908817940481,0.007747487178783306,0.01222795230156462,0.025488765928871608,0.0011169340937211502,0.0017527218247768745,6.161971697220341e-06,7.920645456460287e-06,0.0014823593800306657
91.0,2.930809771128674,0.2751211825170401,0.6105145687123738,0.0,0.0,0.0,2.0451740216538496,1.830442644712381,0.16668823759581716,0.007443053006732081,0.011727200677437002,0.024669320687885465,0.0010724699717623216,0.0016832750362334023,5.8670787007040524e-06,7.546023652491633e-06,0.0014344061206722483
92.0,2.8583733467792225,0.2697381092908706,0.60974445771213,0.0,0.0,0.0,1.978890779754082,1.7712188886553302,0.1613243276328467,0.007153844895372885,0.011255412743589035,0.02389032239023408,0.0010311441800019486,0.0016152284536494622,5.589324621662465e-06,7.185733861298873e-06,0.0013888365139971476
93.0,2.7885893103838852,0.2643550360647011,0.6089743467118862,0.0,0.0,0.0,1.915259926961914,1.7142752403055466,0.15625154374472833,0.006880251668192759,0.010810097570789882,0.023141659444554628,0.0009916913302106525,0.001551554834206647,5.329384100329266e-06,6.844047012834474e-06,0.0013457151127095693
94.0,2.7212826430906754,0.25897196283853163,0.6082042357116424,0.0,0.0,0.0,1.854106445622102,1.6596484849835973,0.15127953275983186,0.006622557964204323,0.010391726300746655,0.022404010084151604,0.0009540019669193433,0.0014910343569786366,5.083729560369479e-06,6.527434267814951e-06,0.0013034842670862261
95.0,2.656673662529826,0.2535888896123621,0.6074341247113987,0.0,0.0,0.0,1.7956506488240973,1.6073516551567117,0.1466009048634594,0.006370169053097919,0.00998337582845288,0.02171783967855664,0.0009184236268455488,0.001434092571204226,4.856584071562464e-06,6.227061188153019e-06,0.0012631048162797464
96.0,2.5951258420715324,0.24923389319461478,0.6066640137111549,0.0,0.0,0.0,1.7392279355748583,1.5569069295197349,0.1420348528930524,0.006134735241855123,0.009604964430564755,0.02104877754949156,0.0008845498266925254,0.0013784398832721808,4.634453397880605e-06,5.942861139012678e-06,0.0012241081090565036
97.0,2.535777526109526,0.24491273271509656,0.605893902710911,0.0,0.0,0.0,1.6849708907853862,1.5083088339459725,0.1377304368705366,0.005908143117115157,0.009238344644031058,0.020407550422235375,0.0008521766835616865,0.0013272164406842196,4.426755961308983e-06,5.678422295710597e-06,0.0011880818827875795
98.0,2.4792435018058048,0.2405915722355783,0.6051237917106672,0.0,0.0,0.0,1.6335281376534256,1.4623514781109515,0.13352602090667853,0.005690602360427127,0.008891164178857979,0.01980817875331762,0.0008216515865889015,0.001277121493401333,4.230910710565802e-06,5.42069672804235e-06,0.0011522688639939945
99.0,2.4240214005631286,0.2362704117560601,0.6043536807104235,0.0,0.0,0.0,1.5833973095335057,1.4174260758736439,0.12956266532675834,0.005486750184936667,0.008563687412091901,0.019208807084399863,0.0007922780459555809,0.0012298943929811834,4.048083526168069e-06,5.182602256825763e-06,0.0011179203726497404
100.0,2.3715508052922276,0.23194925127654187,0.6035835697101797,0.0,0.0,0.0,1.536017987263662,1.3750957710057767,0.1256812471894924,0.005290454139300531,0.008251123273721255,0.01865581621298752,0.0007638384883898977,0.0011853179482998533,3.872061648097598e-06,4.954860157088029e-06,0.001085591211727245
101.0,2.3204578009729073,0.22762809079702362,0.6026422099513892,0.0,0.0,0.0,1.490187500856814,1.334056035134156,0.12202896016008938,0.005104217970929475,0.00795217462139484,0.018104715145266133,0.0007371112576814603,0.001142578937112622,3.7049284121344983e-06,4.741717809536491e-06,0.0010532620508047496
102.0,2.2708918538144247,0.2233069303175054,0.6017008501925988,0.0,0.0,0.0,1.4458840719799013,1.2944222017365055,0.11843676170004576,0.004927377789817596,0.007669738604663625,0.017583980138980937,0.0007112872844180158,0.0011016913736426222,3.5482551719481383e-06,4.535495949723355e-06,0.0010229504453731898
103.0,2.223703283720002,0.21902108163065764,0.6007594904338083,0.0,0.0,0.0,1.4039227128235456,1.2568805412645634,0.11506839552775176,0.004752955064052963,0.007398757018864759,0.017071643715537863,0.0006866790979598615,0.0010628886205121112,3.403115191472476e-06,4.344969805878449e-06,0.0009931033023742634
