E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_80.73keV,subshell_MT535_14.36keV,subshell_MT536_13.74keV,subshell_MT537_11.92keV,subshell_MT538_3.43keV,subshell_MT539_3.15keV,subshell_MT540_2.75keV,subshell_MT541_2.29keV,subshell_MT542_2.21keV,subshell_MT543_0.76keV,subshell_MT544_0.65keV,subshell_MT545_0.55keV,subshell_MT546_0.36keV,subshell_MT547_0.34keV,subshell_MT548_0.09keV,subshell_MT549_0.09keV,subshell_MT550_0.11keV,MT551,MT552,MT553,MT554,MT559
272.0,2.857427971526568,0.20818414563852436,0.5239306156222392,0.0,0.0,0.0,2.125313216288883,1.7400118285124588,0.19619664298574643,0.05639166382220101,0.04358908872293348,0.043400020189091594,0.013436184622505707,0.010833898966118218,0.0004352146859429875,0.0004249403584535207,0.01099152128557028,0.003326180092823417,0.002653315557028931,0.00011461555630293955,0.0001102960198839446,5.651699002519553e-07,5.814889346605608e-07,0.002231476755163119,0.00059522682658518,0.0004530309508497413,1.1275017692159766e-05,1.0352617471556774e-05,9.529704927943431e-05
273.0,2.835614479642247,0.2068636166752821,0.5233318993696013,0.0,0.0,0.0,2.105418962188367,1.7238971389450817,0.19437644460088138,0.055794472233483904,0.04309210868908425,0.043003129806979755,0.01329866555722203,0.010715621375974982,0.0004297643027788851,0.0004194430096976784,0.010888235311530176,0.0032924666916813723,0.002624937126003115,0.00011315087479426863,0.00010885928661733246,5.565912251774617e-07,5.730944820181094e-07,0.002210509041112888,0.0005890039960711175,0.00044810720729744434,1.1131001865907465e-05,1.0220034535416519e-05,9.442635360520375e-05
274.0,2.81395045787172,0.20554308771203986,0.5227331831169636,0.0,0.0,0.0,2.085674182578043,1.7077824493777047,0.1926518571502441,0.05523281086557984,0.04260191088346837,0.04260623942486791,0.013164514448236344,0.010597343785831744,0.0004244745448285422,0.0004139456609418361,0.01079096853555627,0.0032587532905393275,0.0025968725680277772,0.0001116861932855977,0.00010748969437643119,5.483392050067347e-07,5.647000293756579e-07,0.0021907632194428407,0.0005831016537831828,0.0004432569446749139,1.0986986039655167e-05,1.0093126666147026e-05,9.355565793097317e-05
275.0,2.792318941833771,0.2042225587487976,0.5221344668643257,0.0,0.0,0.0,2.065961933270657,1.6916677598103278,0.19092726969960683,0.05467915731918621,0.042134770779898224,0.04220964275424681,0.013030363339250658,0.010479066195688507,0.00041918478687819934,0.00040844831218599375,0.010694542023040736,0.0032250398893972827,0.0025688080100524395,0.00011030040921864227,0.00010612010213552994,5.402629205833884e-07,5.563055767332064e-07,0.0021711879705809717,0.0005772572778731252,0.00043840668205238345,1.0850724645309728e-05,9.966218796877533e-06,9.268560622157244e-05
276.0,2.770711710136396,0.20290202978555535,0.5215357506116879,0.0,0.0,0.0,2.0462739226646876,1.6755530702429506,0.18920268224896955,0.05412550377279258,0.04166763067632808,0.04183593402097037,0.012896212230264973,0.010360788605545271,0.00041389502892785643,0.00040321593934467676,0.010598115510525204,0.0031923610478626642,0.0025407434520771017,0.00010894160928210937,0.00010475050989462869,5.321866361600421e-07,5.479111240907549e-07,0.002151612721719103,0.0005714129019630675,0.000433556419429853,1.0717115385144784e-05,9.83931092760804e-06,9.186573650076234e-05
277.0,2.749117894756,0.2015815008223131,0.5209370343590501,0.0,0.0,0.0,2.0265993469441086,1.6594383806755737,0.18747809479833227,0.053571850226398945,0.041200490572757945,0.041462225287693937,0.012768377789974989,0.01024799681122723,0.0004086052709775135,0.00039817774136777283,0.01050168899800967,0.0031609997845700693,0.0025126788941017644,0.00010758280934557647,0.00010346974403499444,5.244827445264392e-07,5.396982586845676e-07,0.0021320374728572345,0.0005655685260530099,0.0004287225964567005,1.058350612497984e-05,9.712403058338547e-06,9.104586677995225e-05
278.0,2.7275506516089534,0.20026097185907085,0.5203383181064123,0.0,0.0,0.0,2.006951364908133,1.6433236911081965,0.18575350734769497,0.05301819668000531,0.040752529386032424,0.0410885165544175,0.012643903039374496,0.010138702859355775,0.00040331551302717067,0.00039313954339086885,0.010405262485494136,0.003129638521277474,0.0024846143361264266,0.00010622400940904356,0.00010219731486391387,5.170054396784323e-07,5.319388885501135e-07,0.002112462223995366,0.0005599951980269569,0.0004241599967745175,1.0449896864814895e-05,9.585495189069055e-06,9.022599705914214e-05
279.0,2.70701875255607,0.1989404428958286,0.5197396018537745,0.0,0.0,0.0,1.9883387197232765,1.6281750609537118,0.18408022753270084,0.05246454313361169,0.04031532084307185,0.04071480782114106,0.012519428288774002,0.010029408907484319,0.00039838791973387526,0.0003881013454139649,0.01031349737261728,0.003098277257984879,0.002457607694000199,0.00010486520947251065,0.00010092488569283331,5.095281348304254e-07,5.241795184156593e-07,0.0020938332312663258,0.0005546020864894691,0.00041959739709233445,1.031628760464995e-05,9.46746648703531e-06,8.940612733833205e-05
280.0,2.6869564123079703,0.19761991393258635,0.5191408856011367,0.0,0.0,0.0,1.9701956167054975,1.6134116489545376,0.18247278294230565,0.051910889587218054,0.03987811230011127,0.040356894653033375,0.01239495353817351,0.009920114955612864,0.000393557428225972,0.00038332858270973046,0.010222697892212886,0.003066915994692284,0.002431738906959736,0.00010350640953597774,9.965245652175275e-05,5.020508299824185e-07,5.164201482812053e-07,0.002075400260273235,0.0005492089749519813,0.0004150347974101514,1.0182678344485006e-05,9.35014572582174e-06,8.862088975874584e-05
281.0,2.6669458159491977,0.1962993849693441,0.518542169348499,0.0,0.0,0.0,1.9521042649253157,1.5986482369553634,0.18086533835191046,0.05139680391471168,0.03944090375715069,0.04001091504802569,0.012270478787573015,0.009810821003741409,0.0003887269367180687,0.0003785594213293774,0.010131898411808494,0.003035554731399689,0.002405870119919274,0.00010224222077482061,9.838002735067219e-05,4.945735251344116e-07,5.089290625197279e-07,0.002056967289280145,0.0005438158634144934,0.00041059611686776937,1.0058369833532291e-05,9.23282496460817e-06,8.786181679170546e-05
