E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_88.01keV,subshell_MT535_15.87keV,subshell_MT536_15.21keV,subshell_MT537_13.04keV,subshell_MT538_3.86keV,subshell_MT539_3.56keV,subshell_MT540_3.07keV,subshell_MT541_2.59keV,subshell_MT542_2.49keV,subshell_MT543_0.90keV,subshell_MT544_0.77keV,subshell_MT545_0.65keV,subshell_MT546_0.44keV,subshell_MT547_0.42keV,subshell_MT548_0.15keV,subshell_MT549_0.14keV,subshell_MT550_0.15keV,MT551,MT552,MT553,MT554,MT559,MT560,MT561
34.0,139.8956983007369,7.4923818164691145,0.5545092189157372,0.0,0.0,0.0,131.84880724429988,0.0,31.057926820120922,31.231571794411238,38.18402443263431,7.249032650175322,6.026129600203635,7.764184727606244,1.438539441505992,1.6801797796125595,1.8859043297293705,1.4633819419247884,1.868263262894113,0.355080850787831,0.41226389956186027,0.011084278697143731,0.012759103540343323,0.41051986746904257,0.28307679896325805,0.3503429467837488,0.04546562918758789,0.05108796405146595,0.052684252352462504,0.007707917969291925,0.007594943600692145
35.0,129.71635941997687,7.179509798320009,0.5596293097043923,0.0,0.0,0.0,121.97722031055095,0.0,29.257788681981303,28.77774256975887,34.942524409039194,6.803574274869749,5.579232223841422,7.140735312102138,1.2908094373431978,1.504634109511164,1.7704974427966789,1.356905201921621,1.7214987470192198,0.31949631711939597,0.37010353723255035,0.009698046589664024,0.011148548639765025,0.3853091220644887,0.26239506752520864,0.32274828346698897,0.04094915302140574,0.04589679064279293,0.0493866907968124,0.007146775551939231,0.006999545295021338
36.0,120.58761355248375,6.887527176772784,0.5645469233949151,0.0,0.0,0.0,113.13553938949036,0.0,27.591978760282917,26.609148060278994,32.06669158595851,6.39936807805343,5.178190260457903,6.583411057287089,1.1620511813022625,1.351883551040816,1.6646284457245062,1.259429983367267,1.587208279021759,0.2885086602211699,0.33312027606380384,0.008523854210769344,0.009776577603838592,0.36220408005002613,0.24384885596422032,0.2977663312855385,0.03696733709664665,0.04130501761671277,0.046431709838897856,0.00663503836128179,0.006462415799437168
37.0,112.28509278306257,6.59554455522556,0.5692764405944,0.0,0.0,0.0,105.12027180964816,0.0,26.055666035423354,24.637865807997546,29.485844607984156,6.02448700291366,4.813700049109302,6.082664706558949,1.0487076881487947,1.2172633283219576,1.566966272153168,1.1712640143831823,1.4680989868658552,0.26110370893909707,0.30086207537752413,0.007515441944765759,0.008602803222487928,0.3407733796385159,0.2269509959327227,0.2753685076524525,0.033435339205130025,0.03730578791565988,0.043680486704366354,0.006171898756286337,0.005972886234992486
38.0,104.74544823600372,6.3220436404543525,0.5740059577938849,0.0,0.0,0.0,97.84939865683093,0.0,24.622776841834092,22.842810757192577,27.179671084180683,5.683593238030552,4.486927117390766,5.6319686859061635,0.9494819261709694,1.0977721023777764,1.4763156467409069,1.091777440149159,1.3589647686438842,0.23677659488640418,0.2720526500331933,0.006646858919970794,0.007595875998151725,0.3213080276596445,0.21139710306273835,0.2549682545581252,0.03034512675503588,0.03379417097816153,0.04116614803720185,0.005754049347892845,0.00553415554768166
39.0,97.90839477194105,6.076394719038487,0.5787354749933697,0.0,0.0,0.0,91.25326454548467,0.0,23.31828556442275,21.20392127222904,25.0992659740388,5.36941745376895,4.187685804141907,5.224409315238446,0.8616048599253567,0.993680737716857,1.394108183331072,1.019696655108646,1.2618684489841132,0.2152378785418143,0.24666207711062227,0.005896168482586132,0.006727276318672571,0.3030811411479062,0.1972925885321759,0.23681141496189204,0.02761087740141264,0.030621160704048366,0.038870636294205015,0.005374683449655347,0.00513441079450319
40.0,91.63553288792855,5.830745797622621,0.5831507098180008,0.0,0.0,0.0,85.22163643159382,0.0,22.093747043344163,19.719307294219266,23.21771256926329,5.078243998001918,3.9108219789697096,4.850812095913923,0.784035657288743,0.9008602378824137,1.3169998852305314,0.9536706473200782,1.173298227598502,0.19609837551477585,0.22413165713365132,0.005242787123331026,0.005978510615711123,0.2863800779530939,0.18451258833741876,0.2202154490538038,0.025177598013106206,0.02784333226740293,0.03675081201866123,0.005023676118336246,0.004771935101463027
41.0,85.88059146272387,5.585096876206755,0.5862173573092636,0.0,0.0,0.0,79.70927723346595,0.0,20.975529048325907,18.36521250120166,21.496453015683098,4.805948244633843,3.6575860635185062,4.511488323579964,0.7142087953366036,0.8187446949078878,1.2460739000012806,0.892335687495851,1.0914986912469766,0.1790572354026508,0.20413606077889918,0.004674657422636993,0.005325491811069001,0.2711360344964434,0.17269612258616887,0.2048670979427612,0.0230108307707505,0.02538533997642742,0.03476217738476634,0.00470117550402197,0.00444607404240314
42.0,80.63870997616851,5.376281070788607,0.5892840048005265,0.0,0.0,0.0,74.67314487535216,0.0,19.90420016470739,17.15647790684929,19.935216834419652,4.556851057477424,3.4291109414275134,4.2024850617600515,0.6520699089666031,0.7466793912404843,1.18128343789754,0.836348006845113,1.0175098109437852,0.16391871069363223,0.18640266325768198,0.004180955493920545,0.0047561863878625875,0.25694859230088873,0.16202728751850695,0.1909873236158332,0.021051889258037706,0.023170836408107562,0.032911493058727946,0.004409431919246987,0.004147027638893561
43.0,75.8161133468289,5.173992212279794,0.5923506522917893,0.0,0.0,0.0,70.04977046227238,0.0,18.90370317622589,16.033377951243697,18.534624879533578,4.321847666825327,3.216295227837219,3.922231574991804,0.5966612606833697,0.6812280134758605,1.1208920360929682,0.7855638415067273,0.9504199555446171,0.15035588339826766,0.17055957531659813,0.0037500300709682934,0.004262327127481401,0.24366030806971675,0.152197359794138,0.17840124602236918,0.01929792167594638,0.021212270316093296,0.031218770448576197,0.004138910669500899,0.0038703293992791788
44.0,71.40217770664249,4.971703353770981,0.5954172997830521,0.0,0.0,0.0,65.83505698777904,0.0,17.985485699547407,15.010101917028413,17.267548565099556,4.104900605992639,3.021502767677794,3.666945056011855,0.5471341246694522,0.6237548237037831,1.0641705987133312,0.7381508812780894,0.8882828745182961,0.13813170947659947,0.15631005571130285,0.003373678620193099,0.0038283375040340344,0.23124510557705852,0.14311186153747532,0.1667439402643784,0.017737314428667873,0.019448699039454502,0.029634869473717573,0.0038941597843033847,0.0036193767652311325
45.0,67.31923447552921,4.773064766119536,0.5983965995987706,0.0,0.0,0.0,61.947773113365976,0.0,17.123619779758325,14.07833714780105,16.09554406159684,3.9053512933002046,2.8437561262053497,3.432445575043052,0.5025581777147439,0.5715935088119254,1.0110877119650046,0.6946732937915608,0.8318125122287221,0.12705770964252558,0.14353864689971066,0.0030389314635627935,0.003444943532799395,0.21970080711941073,0.13465744732182602,0.15614932546082963,0.016321276294731565,0.017863800364903298,0.028166166669133352,0.0036669908296042076,0.0033878460476982424
46.0,63.58327317406558,4.611254415199791,0.6011996424961465,0.0,0.0,0.0,58.370819216737374,0.0,16.321016718975294,13.220619146154688,15.030109013123118,3.7181442695481017,2.679702995153516,3.2146494113222337,0.4628488071661865,0.5247272751894165,0.9616808490662272,0.6549377077864221,0.7801249831414592,0.11710712007417708,0.13195095487911193,0.0027448896844826276,0.003107499248221451,0.20911553256156704,0.1268627809200882,0.14645167889951738,0.015062002080344911,0.016426040972304955,0.02679627656088076,0.003456165153700235,0.0031770314910150466
47.0,60.109616290527235,4.449444064280047,0.6040026853935224,0.0,0.0,0.0,55.05616954850758,0.0,15.568535467164818,12.4177580506678,14.059319769274662,3.541987034042096,2.525947374629867,3.0144764494850325,0.4266033698299102,0.48266781999467656,0.9162932516086775,0.6181605930010544,0.7324531738341483,0.1080958286972717,0.12148236660935663,0.00248425351880914,0.0028094803132656544,0.19908723820529373,0.1196919145981958,0.1375063209145117,0.01390785616883257,0.015126805346784527,0.025531171795708345,0.003259624421385425,0.0029843050136210657
48.0,56.90836570699254,4.287633713360302,0.6068057282908984,0.0,0.0,0.0,52.01392623393054,0.0,14.874893576362872,11.688878735360436,13.16843957357649,3.377693294266165,2.3830432734099976,2.8313216717635825,0.3939557394778554,0.4447227203454512,0.8731705222344979,0.5837223347303492,0.6880440865636254,0.09998184217735184,0.11210160859145132,0.0022538101780080833,0.0025434113989701124,0.189866737285585,0.11305882660706468,0.12917014308565794,0.012867610554279024,0.0139622587134262,0.024351158616872384,0.003077308637551202,0.0028059894623303655
49.0,53.9096866923525,4.125823362440558,0.6096087711882743,0.0,0.0,0.0,49.174254520089626,0.0,14.222869572514153,11.004586135463022,12.3373461218861,3.2223565583243827,2.2527077469104078,2.6637680540071025,0.36454530503668037,0.41020073580254734,0.8334223411501581,0.551601141548086,0.6471468312664873,0.09260783588353876,0.1036626999510907,0.002049672189007127,0.0023086698757818925,0.18105825312775128,0.10690324051891589,0.1214931291302222,0.011927873960364438,0.01291435872230041,0.023227284692644724,0.00291087991917642,0.0026401016571336376
50.0,51.14033062971362,3.9928616690926177,0.6124118140856503,0.0,0.0,0.0,46.535057167941474,0.0,13.598415843938001,10.374746323912198,11.57809728649419,3.077563724185908,2.130269499102637,2.5070447106712734,0.3376946590734522,0.3794663897178637,0.7958062941896673,0.5217974626668197,0.6092568316267889,0.08589688463620436,0.09590058573165729,0.001865992230384184,0.0020983542696230337,0.17307173609327592,0.10126080489460945,0.11438057527935822,0.011064404945568608,0.011950298703777826,0.02216818364234789,0.0027546149991972612,0.0024857656120726365
51.0,48.55675799602335,3.862271548754262,0.6140556168414152,0.0,0.0,0.0,44.08043072719813,0.0,13.005712897219029,9.79418639286659,10.876286924387793,2.941279648765352,2.017196897949395,2.3621976186280134,0.31310029271074064,0.3511497538315196,0.7611584345213217,0.49438655762689604,0.5747248319158272,0.07980737815393131,0.08894952838282309,0.001701768795199183,0.0019121846703502553,0.1653199956345603,0.09597024187245559,0.10789831987574174,0.010274753639050489,0.011086734440569032,0.02117668435121507,0.0026100004178791396,0.0023429636168938086
52.0,46.159629969824174,3.7316814284159063,0.6155428366495618,0.0,0.0,0.0,41.81240560397337,0.0,12.456907697543945,9.256954890081612,10.231150731404682,2.8151777205687494,1.912150552239487,2.229369674475879,0.29064830856586177,0.3254519393892156,0.727623819567401,0.46874472020971913,0.5423850014766234,0.07426060323663937,0.08259252573533907,0.0015554754764604962,0.00174518610843353,0.1580177099549188,0.0910396401430856,0.10182753947784264,0.009555937002081731,0.010296796512419198,0.020261411178546997,0.0024753488841803666,0.0022124544160706215
53.0,43.91100514620102,3.6010913080775504,0.6170300564577084,0.0,0.0,0.0,39.692883913726035,0.0,11.926200598810137,8.763535416133685,9.636293101805757,2.694590559696723,1.8145170837397322,2.106383446434275,0.27039607625212714,0.3022442570058843,0.6961463334993485,0.44489119689250123,0.5126347923968125,0.06917394227165087,0.07673334525028944,0.0014233877575524773,0.0015967056724758577,0.15118970029121642,0.08639637129025658,0.0962428390426872,0.008904222320081336,0.009568869524607115,0.019381307333480344,0.002350671272682854,0.0020896021266349463
54.0,41.8263396514109,3.483195453440267,0.6185172762658548,0.0,0.0,0.0,37.72462693814284,0.0,11.438409252506258,8.294666585156325,9.08993411784087,2.582938621790172,1.7240682775666283,1.9910930304027659,0.25178308594441967,0.28091088090499994,0.6666536386660731,0.42270330285732083,0.48490836351042044,0.06449304069402473,0.07138957362658782,0.001304734101840663,0.0014618527111126063,0.14481200730301536,0.08208197858521316,0.09103801070375006,0.008303537524302183,0.008902753228830006,0.01856016007849132,0.0022332900234148328,0.001976787131859092
55.0,39.874768099426845,3.3764805842364454,0.6200044960740014,0.0,0.0,0.0,35.878283145606126,0.0,10.975069828076125,7.862675531168657,8.576568040386586,2.47591644178697,1.6385774456462083,1.883272893350651,0.2347909000919353,0.26133684372637145,0.6388338745715108,0.4019473280734121,0.45910895326242146,0.060207249599361426,0.06649305726400374,0.0011983920948793463,0.0013404037139516467,0.13886983580298531,0.07804267402687684,0.08619548162339878,0.007751804128910363,0.008295659005562938,0.017795048593909558,0.0021227652455221052,0.001872630864785431
56.0,38.06133877442094,3.269765715032624,0.621491715882148,0.0,0.0,0.0,34.170081224147616,0.0,10.54434016821716,7.464057274068484,8.107663990508723,2.3742541028037203,1.5577736682328756,1.7829017692137985,0.21937436929164789,0.24342701622198654,0.613158445243651,0.38271008694129105,0.43485892439202267,0.05625635864902813,0.062047864154580495,0.0011015624506775347,0.0012314496711067523,0.13314886858992228,0.07426370104545499,0.081655982338387,0.007248436428202294,0.007742709075059605,0.017070349251329598,0.0020194059205650363,0.0017747718306430633
57.0,36.34012892087685,3.1630508458288022,0.6229789356902946,0.0,0.0,0.0,32.55409911379091,0.0,10.132803945421562,7.087017579320734,7.664316341850693,2.2785093546054624,1.4823302048273468,1.689327771911294,0.20502479731587192,0.22717074548569732,0.5880697288721349,0.36450607492865883,0.41225207964041255,0.052683307451936355,0.05794582284478407,0.0010150183853904439,0.0011330453311008443,0.1277629626069611,0.07079931898990001,0.07741655012737428,0.006785008215238877,0.0072303134378940434,0.016393004009742425,0.00192275380530711,0.0016833631018413303
58.0,34.7293553491757,3.056335976624981,0.6244661554984412,0.0,0.0,0.0,31.04855310388605,0.0,9.73964333383172,6.739458119524527,7.255806884983098,2.189072649967887,1.411902132646819,1.6039124328859293,0.19185140755579927,0.21220821372373794,0.5648537754863439,0.3472358974159448,0.3911676722637086,0.049336118206935786,0.054167121087871216,0.0009358125694891591,0.0010442240328823798,0.12273142937330432,0.06747546650278699,0.07345437830983494,0.006361074747321903,0.006761605139400485,0.01574259825915919,0.001833714275709867,0.00159707483007976
