E_keV,photons_per_keV
18.023999999999997,1154328.5487667304
18.123555555555555,1147435.4569705504
18.22311111111111,1140617.6811376086
18.322666666666667,1133873.993588108
18.42222222222222,1127203.1931802768
18.52177777777778,1120604.104597149
18.621333333333332,1114075.5776562297
18.720888888888886,1107616.4866411814
18.820444444444444,1101225.7296547242
18.919999999999998,1094902.227991968
19.019555555555556,1088644.9255334206
19.11911111111111,1082452.7881569648
19.218666666666664,1076324.8031681108
19.31822222222222,1070259.9787478617
19.417777777777776,1064257.3434175712
19.517333333333333,1058315.9455201712
19.616888888888887,1052434.8527172036
19.716444444444445,1046613.151501083
19.816,1040849.946722069
19.915555555555553,1035144.3611294198
20.01511111111111,1029495.5349262425
20.114666666666665,1023902.6253375656
20.214222222222222,1018364.806191167
20.313777777777776,1012881.2675107378
20.413333333333334,1007451.2151209428
20.512888888888888,1002073.8702639863
20.612444444444442,996748.4692272877
20.712,991474.2629818949
20.811555555555554,986250.5168312772
20.91111111111111,981076.510070149
21.010666666666665,975951.5356529937
21.11022222222222,970874.8998719684
21.209777777777777,965845.9220438764
21.30933333333333,960863.934205919
21.40888888888889,955928.2808199316
21.508444444444443,951038.3184848379
21.608,946193.415657048
21.707555555555555,941392.9523785571
21.80711111111111,936636.3200124854
21.906666666666666,931922.9209858332
22.00622222222222,927252.1685392181
22.105777777777778,922623.4864833722
22.205333333333332,918036.308962193
22.304888888888886,913490.0802221381
22.404444444444444,908984.254387767
22.503999999999998,904518.2952432447
22.603555555555555,900091.6760196148
22.70311111111111,895703.8791876727
22.802666666666667,891354.3962562628
22.90222222222222,887042.7275758381
23.001777777777775,882768.3821471204
23.101333333333333,878530.8774347065
23.200888888888887,874329.7391854778
23.300444444444445,870164.5012516581
23.4,866034.705418396
23.499555555555553,861939.9012357242
23.59911111111111,857879.6458547742
23.698666666666664,853853.5038681204
23.798222222222222,849861.0471541297
23.897777777777776,845901.854725203
23.997333333333334,841975.5125797918
24.096888888888888,838081.6135580877
24.19644444444444,834219.7572012699
24.296,830389.5496142145
24.395555555555553,826590.603331568
24.49511111111111,822822.5371870828
24.594666666666665,819084.9761861291
24.69422222222222,815377.5513812883
24.793777777777777,811699.8997509457
24.89333333333333,808051.664080796
24.99288888888889,804432.4928481788
25.092444444444443,800842.0401091718
25.192,797279.9653883548
25.291555555555554,793745.9335711851
25.39111111111111,790239.6147988971
25.490666666666666,786760.68436587
25.59022222222222,783308.8226193899
25.689777777777778,779883.7148617409
25.78933333333333,776485.0512545665
25.888888888888886,773112.5267254352
25.988444444444443,769765.8408765557
26.087999999999997,766444.6978955815
26.187555555555555,763148.8064684491
26.28711111111111,759877.8796941988
26.386666666666667,756631.6350017214
26.48622222222222,753409.7940683848
26.585777777777775,750212.082740487
26.685333333333332,747038.2309554905
26.784888888888887,743887.9726659923
26.884444444444444,740761.0457653794
26.983999999999998,737657.1920151354
27.083555555555556,734576.1569737446
27.18311111111111,731517.6899271635
