E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_25.52keV,subshell_MT535_3.81keV,subshell_MT536_3.53keV,subshell_MT537_3.36keV,subshell_MT538_0.72keV,subshell_MT539_0.61keV,subshell_MT540_0.58keV,subshell_MT541_0.38keV,subshell_MT542_0.37keV,subshell_MT543_0.10keV,subshell_MT544_0.07keV,subshell_MT545_0.06keV,subshell_MT546_0.01keV,subshell_MT547_0.01keV,subshell_MT550_0.01keV
32.0,163.4487661015636,3.118221572236488,0.5705659763185645,0.0,0.0,0.0,159.75997851662123,136.0085194965759,11.501073931848019,3.1004861758961244,4.811744597101994,2.12816916191362,0.5660314836888856,0.8861902009510579,0.03729243494004181,0.04874608252902943,0.404899868927779,0.09564552353789538,0.14842233617345166,0.004185883175452987,0.005377418871819688,0.01319385670408413
33.0,150.95204184684036,3.0190295980185793,0.5742802193407314,0.0,0.0,0.0,147.35873203013628,125.60936037323533,10.641297401801593,2.8014376252449527,4.333154201455672,1.9687763033900407,0.5128496222932676,0.8002860277876614,0.03273836482529093,0.04274894744248878,0.3747177598899915,0.08668214261963264,0.13406399350596948,0.003680546610245599,0.0047192284136303355,0.012219560083419833
34.0,139.52719599511195,2.919837623800671,0.5779944623628982,0.0,0.0,0.0,136.02936397653755,116.06669754502681,9.867840540666505,2.535492550971388,3.910418903877603,1.8260407325451633,0.4652677637562723,0.7247571501961013,0.028853076901050625,0.037596832857400314,0.3475383375946102,0.07876021376671044,0.12137857830054931,0.0032459794251781084,0.004153326131181121,0.011322335675057806
35.0,129.29454672256654,2.8206456495827625,0.581708705385065,0.0,0.0,0.0,125.89219234821556,107.52145753436896,9.168910708818494,2.304220762674253,3.539446913159526,1.6968620514639723,0.4233446984648196,0.6571299486811546,0.02551853325187133,0.0331917196592273,0.3230494812122563,0.07170865036462704,0.11028135248206794,0.0028750416315552626,0.003667957732027515,0.010527054449336722
36.0,119.9674586768785,2.7276207305244853,0.5852567642741151,0.0,0.0,0.0,116.6545811172906,99.70411838637271,8.540581534573828,2.097977415756952,3.2128548318795254,1.580422683585354,0.386389077178684,0.5979354705230921,0.022670391850862715,0.02939931331166977,0.3008820903568477,0.06540224063660768,0.10034644275396619,0.0025531288305025287,0.0032525534652795528,0.009795555695464987
37.0,111.64862840147802,2.6347523066911247,0.5886504419882385,0.0,0.0,0.0,108.42522546920837,92.75503353949617,7.966877919234589,1.9139472754293008,2.9238633103224103,1.4745000200838283,0.3534044645271456,0.5451549330296999,0.020180020815901267,0.026153584757315673,0.28050605365951026,0.05984664265416665,0.09144805560366101,0.002277003439046729,0.002894665426999112,0.009138106298484263
38.0,104.06128197501378,2.541883882857764,0.5920441197023617,0.0,0.0,0.0,100.92735393480194,86.41593080355086,7.438183763595337,1.751154068324164,2.668264720375944,1.3764992151696878,0.324030676680496,0.49845095340754386,0.01802682435589307,0.023311984551287177,0.2618559968783244,0.054886543558154366,0.08360230134344884,0.0020337314072771152,0.002582098838073818,0.008540348478932251
39.0,97.06157656486288,2.4565837611366206,0.5954377974164851,0.0,0.0,0.0,94.00955492134247,80.5364130177496,6.9618062799964155,1.6054174954693927,2.44208971134174,1.2880389665738383,0.2978369693415626,0.4566606612684702,0.016148823989955492,0.020849920477502785,0.24506207658504206,0.05045616995656752,0.07665079996491816,0.0018226370320274276,0.0023121437551428667,0.007989370987732546
40.0,90.73346969610273,2.3742583183127453,0.5984769132540434,0.0,0.0,0.0,87.76073460429967,75.2393779409419,6.519610287958212,1.4743600219588684,2.2367967703322837,1.2065169839493521,0.27398950964879176,0.4192718996365432,0.01451173236330887,0.01870220767898678,0.22958478703190577,0.04647552997249394,0.07034576869676111,0.0016374963539624182,0.002073256438962847,0.007480324525676483
41.0,84.89588299211891,2.2919328754888695,0.5999946022032729,0.0,0.0,0.0,82.00395554310855,70.3424705660095,6.115682339020557,1.35738581140935,2.053954897342421,1.1321598134446622,0.2527471381909078,0.38602702330300365,0.013077925645576086,0.016818846989315822,0.21562031054276964,0.04289101746709359,0.06475558684897992,0.001476393882540378,0.0018659195930606067,0.007022024751438042
42.0,79.57283829528718,2.211170694022806,0.6015122911525025,0.0,0.0,0.0,76.76015525991563,65.87808322737611,5.748273952723621,1.2525644259602913,1.8894110521426029,1.0642535948549636,0.233370097531819,0.3555814473487554,0.01180263504788214,0.01516938118855414,0.20269454854279478,0.039642693785044106,0.05969705298211669,0.0013333570922866086,0.0016831347644369107,0.006594654768765387
43.0,74.70215260001528,2.140665002215213,0.603029980101732,0.0,0.0,0.0,71.9584578941458,61.78819808705016,5.410504496436223,1.1570949996816617,1.7409536826840646,1.0017065956103615,0.21596441276103284,0.3281474682973556,0.0106886777068023,0.013713948685901306,0.19073111839277454,0.036693419239686255,0.05512767387536085,0.0012062083685038271,0.001521227701379229,0.006205735432344099
44.0,70.22952740692786,2.0701593104076204,0.6045476690509616,0.0,0.0,0.0,67.55482045968435,58.04010091759093,5.093682213279953,1.071902131337543,1.607345293424742,0.9432668955658987,0.20020464629523005,0.30328921668504893,0.009694420768769018,0.012416094703374691,0.1796051564146063,0.03402396812103157,0.05096514394522631,0.0010952750646382823,0.0013787474959377148,0.005850370940063586
45.0,66.1333618935354,1.9996536186000275,0.6060653580001912,0.0,0.0,0.0,63.527642843261795,54.610450220126815,4.803247319023442,0.9940236311706745,1.4876859932715027,0.8893171303841632,0.18598146404214633,0.28096363835673643,0.008810183997319638,0.011266839992789343,0.1693374742526905,0.031590409565847626,0.04720126627500969,0.000995943020777787,0.001251419343231483,0.005519973001029739
