E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_29.20keV,subshell_MT535_4.47keV,subshell_MT536_4.16keV,subshell_MT537_3.93keV,subshell_MT538_0.89keV,subshell_MT539_0.76keV,subshell_MT540_0.72keV,subshell_MT541_0.50keV,subshell_MT542_0.49keV,subshell_MT543_0.14keV,subshell_MT544_0.10keV,subshell_MT545_0.09keV,subshell_MT546_0.03keV,subshell_MT547_0.03keV,subshell_MT550_0.01keV,MT551,MT552
257.0,1.1680055278849837,0.09937812214957613,0.5170721297379623,0.0,0.0,0.0,0.551555276714767,0.4784130997585416,0.04966741088524929,0.0043634447613035456,0.005034666344257253,0.009579691311856802,0.0008797423837208148,0.0010464720972279476,1.2142278262712246e-05,1.391145834966347e-05,0.0019496003930710897,0.00016876182824317426,0.0001946135842613106,1.8354904513669707e-06,2.0834048766263357e-06,0.00021980330765696395,3.839846369021632e-06,4.1564734678580125e-06
258.0,1.16052971418273,0.09859042007707083,0.5164544792947037,0.0,0.0,0.0,0.545484815372315,0.47313482582225025,0.04914406027546038,0.004311303799412017,0.004971681755676719,0.009477291646546024,0.0008696767329363854,0.0010334316712668845,1.1965485970185768e-05,1.3714022720204054e-05,0.001928770087872515,0.00016670678245031648,0.00019217413404978113,1.8089199928497179e-06,2.052621945605659e-06,0.00021745510126522353,3.792166888684073e-06,4.10439771773533e-06
259.0,1.1533380983892,0.09780271800456553,0.515836828851445,0.0,0.0,0.0,0.5396985516433183,0.4681393709737836,0.048620709665671474,0.00425916283752049,0.004908697167096184,0.009375795795971286,0.0008596566344337492,0.0010203912453058215,1.1793060126341257e-05,1.3519012444091883e-05,0.0019081235801076176,0.00016475434731858392,0.00018984100648711887,1.7823495343324653e-06,2.022811629375202e-06,0.00021512761249300238,3.7479800670353977e-06,4.054596714058416e-06
260.0,1.1461582184160382,0.09701501593206023,0.5152191784081863,0.0,0.0,0.0,0.5339240224288941,0.46314391612531697,0.04809735905588257,0.004207021875628962,0.004848407948314061,0.009281199813441754,0.0008496365359311131,0.0010079072432611841,1.162570319372395e-05,1.332400216797971e-05,0.0018888802117128253,0.0001628202674325935,0.00018750787892445663,1.7557790758152125e-06,1.9944199193441883e-06,0.00021295828538289317,3.7037932453867218e-06,4.004795710381504e-06
261.0,1.1390041452122224,0.09622731385955492,0.5146015279649276,0.0,0.0,0.0,0.5281753032837158,0.45814846127685027,0.04759776842158996,0.004155170996921616,0.004789436882927482,0.009186603830912219,0.0008397800105080526,0.0009956953567812573,1.1458346261106643e-05,1.3128991891867539e-05,0.0018696368433180333,0.0001608861875466031,0.00018517475136179437,1.7313813106446425e-06,1.9660282093131744e-06,0.00021078895827278393,3.6596064237380463e-06,3.954994706704591e-06
262.0,1.131911924819766,0.09543961178704963,0.5139838775216691,0.0,0.0,0.0,0.5224884366625391,0.4531986166535031,0.04710992015023059,0.004107079892406835,0.004730465817540904,0.009092007848382686,0.0008304572436316926,0.0009834834703013305,1.1298457215071079e-05,1.2940238219410174e-05,0.001850393474923241,0.0001589879027781723,0.00018299748661992525,1.7070188738211733e-06,1.937636499282161e-06,0.00020861963116267473,3.6154196020893708e-06,3.9085189568829875e-06
263.0,1.1251603800772108,0.09465190971454433,0.5133662270784104,0.0,0.0,0.0,0.517142243568719,0.4485893160722649,0.04662207187887123,0.004058988787892053,0.004671494752154325,0.008997411865853153,0.0008211344767553325,0.0009712715838214036,1.1142434014297584e-05,1.276039969701069e-05,0.001831150106528449,0.0001571983953056169,0.00018082791643488641,1.682656436997704e-06,1.9092447892511474e-06,0.00020645030405256552,3.5712327804406953e-06,3.862207366510281e-06
264.0,1.1185104250631261,0.0939657899651828,0.5127485766351517,0.0,0.0,0.0,0.5117960584854137,0.4439800154910267,0.046134223607511855,0.004010897683377272,0.004612523686767746,0.008902815883323619,0.0008118117098789725,0.0009590596973414766,1.098641081352409e-05,1.2580561174611203e-05,0.0018119067381336567,0.0001554088878330615,0.0001786583462498476,1.6591005920310458e-06,1.8831340799051115e-06,0.0002042809769424563,3.5308084784103694e-06,3.815895776137574e-06
265.0,1.1119341528535454,0.09334899918529083,0.512130926191893,0.0,0.0,0.0,0.5064542272381632,0.4393707149097885,0.045646375336152484,0.003962806578862491,0.004557161787301602,0.008808219900794086,0.0008024889430026125,0.0009475930458666066,1.0830387612750597e-05,1.2400722652211719e-05,0.0017926633697388646,0.0001536193803605061,0.00017648877606480878,1.636095238335749e-06,1.8570861847990647e-06,0.0002021116498323471,3.4904877887164302e-06,3.769584185764868e-06
266.0,1.1053592537176251,0.09273220840539884,0.5115132757486344,0.0,0.0,0.0,0.5011137689951933,0.43476141432855037,0.04515852706479311,0.00391471547434771,0.004502675807015177,0.008713881481147136,0.0007931661761262525,0.0009363072576850064,1.0674364411977102e-05,1.2220884129812232e-05,0.0017734723799448225,0.00015182987288795072,0.00017431920587976995,1.6130898846404522e-06,1.8310382896930176e-06,0.0001999482268260525,3.4501670990224906e-06,3.7232725953921616e-06
